id;Name;SMILE;Taste;Reference;Note
1629;Denatonium chloride derivative 12;Clc1ccc(C[N+](CC(=O)Nc2c(C)cccc2C)(C)[CH-]CCC)cc1;Bitter;Rojas et al. (2017);CCCC[N](Cc1ccc(cc1)Cl)(CC(=O)Nc1c(C)cccc1C)C
1630;Denatonium chloride derivative 13;Clc1ccc([CH-][N+](CC(=O)Nc2c(C)cccc2C)(Cc2ccccc2)C)cc1;Bitter;Rojas et al. (2017);Clc1ccc(cc1)C[N](Cc1ccccc1)(CC(=O)Nc1c(C)cccc1C)C
1631;Denatonium chloride derivative 2;BrC[CH-][N+](CC(=O)Nc1c(C)cccc1C)(C)C;Bitter;Rojas et al. (2017);BrCC[N](CC(=O)Nc1c(C)cccc1C)(C)C
1632;Denatonium chloride derivative 3;ICCC[CH-][N+](CC(=O)Nc1c(C)cccc1C)(C)C;Bitter;Rojas et al. (2017);ICCCC[N](CC(=O)Nc1c(C)cccc1C)(C)C
1633;Denatonium chloride derivative 4;ClCCCC[CH-][N+](CC(=O)Nc1c(C)cccc1C)(C)C;Bitter;Rojas et al. (2017);ClCCCCC[N](CC(=O)Nc1c(C)cccc1C)(C)C
1634;Denatonium chloride derivative 5;ClCCCCC[CH-][N+](CC(=O)Nc1c(C)cccc1C)(C)C;Bitter;Rojas et al. (2017);ClCCCCCC[N](CC(=O)Nc1c(C)cccc1C)(C)C
1635;Denatonium chloride derivative 6;ClCCCCCCC[CH-][N+](CC(=O)Nc1c(C)cccc1C)(C)C;Bitter;Rojas et al. (2017);ClCCCCCCCC[N](CC(=O)Nc1c(C)cccc1C)(C)C
1636;Denatonium chloride derivative 7;ClCCCCCCCCC[CH-][N+](CC(=O)Nc1c(C)cccc1C)(C)C;Bitter;Rojas et al. (2017);ClCCCCCCCCCC[N](CC(=O)Nc1c(C)cccc1C)(C)C
1637;Denatonium chloride derivative 8;Clc1ccc(C[N+](C)(C)[CH-]C(=O)Nc2c(C)cccc2C)cc1;Bitter;Rojas et al. (2017);O=C(C[N](Cc1ccc(cc1)Cl)(C)C)Nc1c(C)cccc1C
1638;Denatonium chloride derivative 9;Clc1ccc(CC[N+](C)(C)[CH-]C(=O)Nc2c(C)cccc2C)cc1;Bitter;Rojas et al. (2017);O=C(C[N](CCc1ccc(cc1)Cl)(C)C)Nc1c(C)cccc1C
1639;Diterpene derivative 1;O=CC1C(C)(C)CCC2C1(COC(=O)C)C1C(O)CC3CC1(C(=O)O2)C(=O)C3=C;Bitter;Rojas et al. (2017);none
1640;Diterpene derivative 2;O=CC1C(C)(C)CCC2C1(COC(=O)C)C1C(O)CC3CC1(C(=O)O2)C(=O)C3C;Bitter;Rojas et al. (2017);none
1641;Diterpene derivative 3;CC(=O)OCC12C(CCC(C2C(=O)O)(C)C)OC(=O)C23C1C(O)CC(C2)C(C3=O)C;Bitter;Rojas et al. (2017);none
1642;Diterpene derivative 4;COC(=O)C1C(C)(C)CCC2C1(COC(=O)C)C1C(O)CC3CC1(C(=O)O2)C(=O)C3C;Bitter;Rojas et al. (2017);none
1643;Divinyl glycol;C=COCCOC=C;Bitter;Rojas et al. (2017);none
1644;Gentiobiose;OCC1OC(OCC2OC(O)C(C(C2O)O)O)C(C(C1O)O)O;Bitter;Rojas et al. (2017);none
1645;Germacrolide;CC1CCCC2(C1C1OC(=O)C(C1CC2)C)C;Bitter;Rojas et al. (2017);none
1646;Imidazole;c1ncc[nH]1;Bitter;Rojas et al. (2017);none
1647;Limonin;O=C1OCC23C(C1)OC(C2CC(=O)C1(C3CCC2(C31OC3C(=O)OC2c1cocc1)C)C)(C)C;Bitter;Rojas et al. (2017);none
1648;meta-Tolylurea;NC(=O)Nc1cccc(c1)C;Bitter;Rojas et al. (2017);none
1649;Methyl-α-D-2,6-dideoxy-gluco-pyranoside;COC1CC(O)C(C(O1)C)O;Bitter;Rojas et al. (2017);none
1650;Methyl-α-D-3,6-dideoxy-gluco-pyranoside;COC1OC(C)C(CC1O)O;Bitter;Rojas et al. (2017);none
1651;Methyl-α-D-4,6-dideoxy-gluco-pyranoside;COC1OC(C)CC(C1O)O;Bitter;Rojas et al. (2017);none
1652;m-Nitrobenzene;O=N(=O)c1cccc(c1)N(=O)=O;Bitter;Rojas et al. (2017);none
1653;Naringin;OCC1OC(Oc2cc(O)c3c(c2)OC(CC3=O)c2ccc(cc2)O)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O;Bitter;Rojas et al. (2017);none
1654;Neoeriocitrin;OCC1OC(Oc2cc(O)c3c(c2)OC(CC3=O)c2ccc(c(c2)O)O)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O;Bitter;Rojas et al. (2017);none
1655;Oleuropein;OCC1OC(OC2OC=C(C(C2=CC)CC(=O)OCCc2ccc(c(c2)O)O)C(=O)OC)C(C(C1O)O)O;Bitter;Rojas et al. (2017);none
1656;Phenylthiourea;NC(=S)Nc1ccccc1;Bitter;Rojas et al. (2017);none
1657;Picrocrocin;OCC1OC(OC2CC(=C(C(C2)(C)C)C=O)C)C(C(C1O)O)O;Bitter;Rojas et al. (2017);none
1658;Piperazine;N1CCNCC1;Bitter;Rojas et al. (2017);none
1659;Piperidine;C1CCCNC1;Bitter;Rojas et al. (2017);none
1660;Poncirin;OCC1OC(Oc2cc3OC(CC(=O)c3c(c2)O)c2ccc(cc2)OC)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O;Bitter;Rojas et al. (2017);none
1661;Purine;c1ccc2c(c1)[nH]cn2;Bitter;Rojas et al. (2017);none
1662;Pyrazine;n1ccncc1;Bitter;Rojas et al. (2017);none
1663;Pyrazole;c1ccn[nH]1;Bitter;Rojas et al. (2017);none
1664;Pyridazine;c1ccnnc1;Bitter;Rojas et al. (2017);none
1665;Pyridine;c1cccnc1;Bitter;Rojas et al. (2017);none
1666;Pyrimidine;c1ccncn1;Bitter;Rojas et al. (2017);none
1667;Pyrrole;c1ccc[nH]1;Bitter;Rojas et al. (2017);none
1668;Pyrrolidine;C1CCCN1;Bitter;Rojas et al. (2017);none
1669;Quinine;C=CC1CN2CCC1CC2C(c1ccnc2c1cc(OC)cc2)O;Bitter;Rojas et al. (2017);none
1670;Saccharine derivative 1;O=C1NS(=O)(=O)c2c1cccc2N(=O)=O;Bitter;Rojas et al. (2017);none
1671;Saccharine derivative 14;Ic1ccc2c(c1)S(=O)(=O)NC2=O;Bitter;Rojas et al. (2017);none
1672;Saccharine derivative 2;O=C1NS(=O)(=O)c2c1ccc(c2)N(=O)=O;Bitter;Rojas et al. (2017);none
1673;Saccharine derivative 20;Clc1ccc2c(c1)C(=O)NS2(=O)=O;Bitter;Rojas et al. (2017);none
1674;Saccharine derivative 22;COc1ccc2c(c1)C(=O)NS2(=O)=O;Bitter;Rojas et al. (2017);none
1675;Saccharine derivative 27;COc1cccc2c1S(=O)(=O)NC2=O;Bitter;Rojas et al. (2017);none
1676;Saccharine derivative 3;O=C1NS(=O)(=O)c2c1cc(cc2)N(=O)=O;Bitter;Rojas et al. (2017);none
1677;Saccharine derivative 4;O=C1NS(=O)(=O)c2c1c(ccc2)N(=O)=O;Bitter;Rojas et al. (2017);none
1678;Solanine;OCC1OC(OC2CCC3(C(=CCC4C3CCC3(C4CC4C3C(C)C3N4CCC(C3)C)C)C2)C)C(C(C1O)OC1OC(CO)C(C(C1O)O)O)OC1OC(C)C(C(C1O)O)O;Bitter;Rojas et al. (2017);none
1679;Strichnine;O=C1CC2OCC=C3C4C2C2N1c1ccccc1C12CCN(C1C4)C3;Bitter;Rojas et al. (2017);none
1680;Suosan derivative 12;O=C(Cc1ccc(cc1)N(=O)=O)NCCC(=O)O;Bitter;Rojas et al. (2017);none
1681;Tetramethylhaematoxylin;COc1cc2CC3(C(c2cc1OC)c1ccc(c(c1OC3)OC)OC)O;Bitter;Rojas et al. (2017);none
1682;Theobromine;Cn1cnc2c1c(=O)[nH]c(=O)n2C;Bitter;Rojas et al. (2017);none
1683;Urea;NC(=O)N;Bitter;Rojas et al. (2017);none
1684;1,3-benzodioxane (6);COc1ccc(cc1O)C1OCc2c(O1)cccc2;Sweet;Rojas et al. (2017);none
1685;1',4',6'-3Cl-sucrose;ClCC1OC(C(C1Cl)O)(CCl)OC1OC(CO)C(C(C1O)O)O;Sweet;Rojas et al. (2017);none
1686;1',4'-2Cl-sucrose;OCC1OC(C(C1Cl)O)(CCl)OC1OC(CO)C(C(C1O)O)O;Sweet;Rojas et al. (2017);none
1687;1,4-Anhydro-mannitol;OCC(C1OCC(C1O)O)(O)C;Sweet;Rojas et al. (2017);none
1688;1,4-Anhydro-ribitol;OCC1OCC(C1O)O;Sweet;Rojas et al. (2017);none
1689;1,4-benzodioxane (7);COc1ccc(cc1O)C1COc2c(O1)cccc2;Sweet;Rojas et al. (2017);none
1690;1,5-Anhydro-mannitol;OCC1OCC(C(C1O)O)O;Sweet;Rojas et al. (2017);none
1691;1,6-dichloro-1,6-deoxy-D-fructofuranose;ClCC1OC(C(C1O)O)(O)CCl;Sweet;Rojas et al. (2017);none
1692;1',6'-Dichloro-sucrose;ClCC1OC(C(C1O)O)(CCl)OC1OC(CO)C(C(C1O)O)O;Sweet;Rojas et al. (2017);none
1693;1',6'-di-O-Methyl sucrose;COCC1OC(C(C1O)O)(COC)OC1OC(CO)C(C(C1O)O)O;Sweet;Rojas et al. (2017);none
1694;1,6-Di-S-1,6-dithio-D-fructofuranose;CSCC1OC(C(C1O)O)(O)CSC;Sweet;Rojas et al. (2017);none
1695;1'-Chloro-sucrose;OCC1OC(C(C1O)O)(CCl)OC1OC(CO)C(C(C1O)O)O;Sweet;Rojas et al. (2017);none
1696;2-(3,4-Dihydroxybenzoyl)benzoic Acid (14);O=C(c1ccccc1C(=O)O)c1ccc(c(c1)O)O;Sweet;Rojas et al. (2017);none
1697;2-(3-Hydroxy-4-methoxybenzoyl)benzoic Acid (15);COc1ccc(cc1O)C(=O)c1ccccc1C(=O)O;Sweet;Rojas et al. (2017);none
1698;2-(3-hydroxy-4-methoxyphenoxymethyl)benzoic acid (40);COc1ccc(cc1O)OCc1ccccc1C(=O)O;Sweet;Rojas et al. (2017);none
1699;2-(3-hydroxy-4-methoxyphenyl)-1,3-benzodioxole (13);COc1ccc(cc1O)C1Oc2c(O1)cccc2;Sweet;Rojas et al. (2017);none
1700;2-(3-Hydroxy-4-methoxyphenyl)-1,3-benzoxathiole (10e);COc1ccc(cc1O)C1Oc2c(S1)cccc2;Sweet;Rojas et al. (2017);none
1701;2-(3-Hydroxy-4-methoxyphenyl)-2,3-dihydro-1,4-benzodithiine (15b);COc1ccc(cc1O)C1CSc2c(S1)cccc2;Sweet;Rojas et al. (2017);none
1702;2-(3-Hydroxy-4-methoxyphenyl)-2,3-dihydro-1,4-benzoxathiin-6-ol (15d);COc1ccc(cc1O)C1CSc2c(O1)ccc(c2)O;Sweet;Rojas et al. (2017);none
1703;2-(3-Hydroxy-4-methoxyphenyl)-2,3-dihydro-1,4-benzoxathiine (15a);COc1ccc(cc1O)C1CSc2c(O1)cccc2;Sweet;Rojas et al. (2017);none
1704;2-(3-Hydroxy-4-methoxyphenyl)-3,4-dihydro-2H-1-benzothiopyran (18);COc1ccc(cc1O)C1CCc2c(S1)cccc2;Sweet;Rojas et al. (2017);none
1705;2-(3-Hydroxy-4-methoxyphenyl)-4-H-1,3-benzodithiine (10a);COc1ccc(cc1O)C1SCc2c(S1)cccc2;Sweet;Rojas et al. (2017);none
1706;2-(3-Hydroxy-4-methoxyphenyl)-4H-1,3-benzodithiole (10d);COc1ccc(cc1O)C1Sc2c(S1)cccc2;Sweet;Rojas et al. (2017);none
1707;2-(3-Hydroxy-4-methoxyphenyl)-4H-1,3-benzoxathiine (10c);COc1ccc(cc1O)C1SCc2c(O1)cccc2;Sweet;Rojas et al. (2017);none
1708;2-(3-Mercapto-4-methoxyphenyl)-4H-3,1-benzoxathiine (23);COc1ccc(cc1S)C1OCc2c(S1)cccc2;Sweet;Rojas et al. (2017);none
1709;2-(4-methoxybenzoyl) benzoic acid;COc1ccc(cc1)C(=O)c1ccccc1C(=O)O;Sweet;Rojas et al. (2017);none
1710;2-(4-Methoxyphenylthio) benzoic Acid S-Oxide (23);COc1ccc(cc1)S(=O)c1ccccc1C(=O)O;Sweet;Rojas et al. (2017);none
1711;2-[3-(4-nitrophenoxycarboxy)phenyl]-3,1-benzoxathiane (25);O=C(Oc1cc(ccc1O)C1OCc2c(S1)cccc2)Oc1ccc(cc1)N(=O)=O;Sweet;Rojas et al. (2017);none
1712;2-[3-(4-nitrophenylcarbamoyloxy-4-methoxy)phenyl]-3,1-benzodioxane (27);COc1ccc(cc1OC(=O)Nc1ccc(cc1)N(=O)=O)C1OCc2c(O1)cccc2;Sweet;Rojas et al. (2017);none
1713;2-[3-(4-nitrophenylcarbonylmethoxy)-4-methoxyphenyl]-3,1-benzoxathiane (26);O=C(c1ccc(cc1)N(=O)=O)COc1cccc(c1)C1OCc2c(S1)cccc2;Sweet;Rojas et al. (2017);none
1714;2-amino-4-nitro-propoxybenzene;CCCOc1ccc(cc1N)N(=O)=O;Sweet;Rojas et al. (2017);none
1715;2-aminobenzoic acid;OC(=O)c1ccccc1N;Sweet;Rojas et al. (2017);none
1716;3-(3-carbamoyl-2,4,6-tribromophehyl)-propionic acid;OC(=O)CCc1c(Br)cc(c(c1Br)C(=O)N)Br;Sweet;Rojas et al. (2017);none
1717;3-(3-Hydroxy-4-methoxyphenyl)-1-(3-carboxyphenyl)propan-1-one (33);COc1ccc(cc1O)CCC(=O)c1cccc(c1)C(=O)O;Sweet;Rojas et al. (2017);none
1718;3',4'-dihydroxyphenyl-3,1-benzoxathiane (18);Oc1ccc(cc1O)C1OCc2c(S1)cccc2;Sweet;Rojas et al. (2017);none
1719;3-anilino-2-styryl-3H-naphthol[l, 2-d]imidazole-5-sulfonate (SSN);CC(=C(c1nc2c(n1Nc1ccccc1)cc(c1c2cccc1)S(=O)(=O)O)C)c1ccccc1;Sweet;Rojas et al. (2017);none
1720;3-Methoxy-1,3,5-estratrien-4-ol (4);COc1cc2CCC3C(c2cc1O)CCC1(C3CCC1)C;Sweet;Rojas et al. (2017);none
1721;4,1',4',6'-4Br-sucrose;BrCC1OC(C(C1Br)O)(CBr)OC1OC(CO)C(C(C1O)O)Br;Sweet;Rojas et al. (2017);none
1722;4,1',4',6'-4Cl-sucrose;ClCC1OC(C(C1Cl)O)(CCl)OC1OC(CO)C(C(C1O)O)Cl;Sweet;Rojas et al. (2017);none
1723;4,1',4'-3Cl-sucrose;OCC1OC(C(C1Cl)O)(CCl)OC1OC(CO)C(C(C1O)O)Cl;Sweet;Rojas et al. (2017);none
1724;4,1',6'-3Br-sucrose;BrCC1OC(C(C1O)O)(CBr)OC1OC(CO)C(C(C1O)O)Br;Sweet;Rojas et al. (2017);none
1725;4,1',6'-3F-sucrose;FCC1OC(C(C1O)O)(CF)OC1OC(CO)C(C(C1O)O)F;Sweet;Rojas et al. (2017);none
1726;4,1',6'-3I-sucrose;ICC1OC(C(C1O)O)(CI)OC1OC(CO)C(C(C1O)O)I;Sweet;Rojas et al. (2017);none
1727;4,1'-2Cl-sucrose;OCC1OC(C(C1O)O)(CCl)OC1OC(CO)C(C(C1O)O)Cl;Sweet;Rojas et al. (2017);none
1728;4,4',6'-3Cl-sucrose;ClCC1OC(C(C1Cl)O)(CO)OC1OC(CO)C(C(C1O)O)Cl;Sweet;Rojas et al. (2017);none
1729;4,6,1',6'-4Cl-sucrose;ClCC1OC(C(C1O)O)(CCl)OC1OC(CCl)C(C(C1O)O)Cl;Sweet;Rojas et al. (2017);none
1730;4,6'-di-O-Methyl sucrose;COCC1OC(C(C1O)O)(CO)OC1OC(CO)C(C(C1O)O)OC;Sweet;Rojas et al. (2017);none
1731;4,6-di-O-Methyl sucrose;COCC1OC(OC2(CO)OC(C(C2O)O)CO)C(C(C1OC)O)O;Sweet;Rojas et al. (2017);none
1732;4'-Br-4,1',6'-3Cl-sucrose;ClCC1OC(C(C1Br)O)(CCl)OC1OC(CO)C(C(C1O)O)Cl;Sweet;Rojas et al. (2017);none
1733;4-Cl-sucrose;OCC1OC(C(C1O)O)(CO)OC1OC(CO)C(C(C1O)O)Cl;Sweet;Rojas et al. (2017);none
1734;4-F-1',4',6'-3Br-sucrose;BrCC1OC(C(C1Br)O)(CBr)OC1OC(CO)C(C(C1O)O)F;Sweet;Rojas et al. (2017);none
1735;4-F-1',4',6'-3Cl-sucrose;ClCC1OC(C(C1Cl)O)(CCl)OC1OC(CO)C(C(C1O)O)F;Sweet;Rojas et al. (2017);none
1736;4'-F-4,1',6'-3Cl-sucrose;ClCC1OC(C(C1F)O)(CCl)OC1OC(CO)C(C(C1O)O)Cl;Sweet;Rojas et al. (2017);none
1737;4-O-Methyl sucrose;COC1C(CO)OC(C(C1O)O)OC1(CO)OC(C(C1O)O)CO;Sweet;Rojas et al. (2017);none
1738;4-O-n-propyl glycosides DHC;CCCOc1ccc(cc1O)CCC(=O)c1c(O)cc(cc1O)OC1OC(CO)C(C(C1OC1OC(C)C(C(C1O)O)O)O)O;Sweet;Rojas et al. (2017);none
1739;4-Propoxyphenyl urea;CCCOc1ccc(cc1)NC(=O)N;Sweet;Rojas et al. (2017);none
1740;4β,10α-dimethyl-1,2,3,4,5,10-hexahydrofluorene-4α,6α-dicarboxylic acid;OC(=O)C1(C)CCCC2(C1C(O)(C(=O)O)c1c2cccc1)C;Sweet;Rojas et al. (2017);none
1741;5-Benzyl-2-Furfuraldehyde oxime;ON=Cc1ccc(o1)Cc1ccccc1;Sweet;Rojas et al. (2017);none
1742;5-deoxy-D-threo-Hexulose;OCC1(O)OCCC(C1O)O;Sweet;Rojas et al. (2017);none
1743;6,1',6'-3Cl-sucrose;ClCC1OC(C(C1O)O)(CCl)OC1OC(CCl)C(C(C1O)O)O;Sweet;Rojas et al. (2017);none
1744;6,6'-di-O-Methyl sucrose;COCC1OC(C(C1O)O)(CO)OC1OC(COC)C(C(C1O)O)O;Sweet;Rojas et al. (2017);none
1745;6-Chloro-6-deoxy-D-fructofuranose;ClCC1OC(C(C1O)O)(O)CO;Sweet;Rojas et al. (2017);none
1746;6'-Chloro-sucrose;ClCC1OC(C(C1O)O)(CO)OC1OC(CO)C(C(C1O)O)O;Sweet;Rojas et al. (2017);none
1747;6-chloro-tryptophan;OC(=O)C(Cc1c[nH]c2c1ccc(c2)Cl)N;Sweet;Rojas et al. (2017);none
1748;6-O-Methyl sucrose;COCC1OC(C(C1O)O)(CO)OC1OC(CO)C(C(C1O)O)O;Sweet;Rojas et al. (2017);none
1749;9-Methoxy-7,11b-dihydrobenz[b]indeno[1,2-d]pyran-6a,10-diol (4);COc1cc2CC3(C(c2cc1O)c1ccccc1OC3)O;Sweet;Rojas et al. (2017);none
1750;Abrusoside B;COC(=O)C1OC(OC2CCC34C(C2(C)C(=O)O)CCC2C4(C3)CCC3(C2(C)CCC3C(C2CC=C(C(=O)O2)C)C)C)C(C(C1O)O)OC1OC(CO)C(C(C1O)O)O;Sweet;Rojas et al. (2017);none
1751;Abrusoside C;OCC1OC(OC2CCC34C(C2(C)C(=O)O)CCC2C4(C3)CCC3(C2(C)CCC3C(C2CC=C(C(=O)O2)C)C)C)C(C(C1O)O)OC1OC(CO)C(C(C1O)O)O;Sweet;Rojas et al. (2017);none
1752;Abrusoside D;OCC1OC(OC2C(OC(C(C2O)O)C(=O)O)OC2CCC34C(C2(C)C(=O)O)CCC2C4(C3)CCC3(C2(C)CCC3C(C2CC=C(C(=O)O2)C)C)C)C(C(C1O)O)O;Sweet;Rojas et al. (2017);none
1753;Acesulfame potassium;CC1=CC(=O)[N-]S(=O)(=O)O1.[K+];Sweet;Rojas et al. (2017);none
1754;Acesulfame potassium_CH3CH2_H;CCC1=COS(=O)(=O)NC1=O;Sweet;Rojas et al. (2017);none
1755;Acesulfame potassium_CH3CH2CH2_CH3;CCCC1=C(C)OS(=O)(=O)NC1=O;Sweet;Rojas et al. (2017);none
1756;Acesulfame potassium_H_H;O=C1C=COS(=O)(=O)N1;Sweet;Rojas et al. (2017);none
1757;Alanine;CC(C(=O)O)N;Sweet;Rojas et al. (2017);none
1758;Albiziasaponin B;OCC1OC(OC2C(OC(C(C2O)O)COC2OCC(C(C2O)O)O)OC2CCC3(C(C2(C)C)CCC2(C3CC=C3C2(C)CC(C24C3CC(C)(C)C(C2)OC4=O)O)C)C)C(C(C1O)O)O;Sweet;Rojas et al. (2017);none
1759;Alitame;CC(COCNC1C(C)(C)SC1(C)C)NCOCC(CC(=O)O)N;Sweet;Rojas et al. (2017);none
1760;Allo-inositol;OC1C(O)C(O)C(C(C1O)O)O;Sweet;Rojas et al. (2017);none
1761;Allyl oxy-nitroaniline;C=COc1ccc(cc1N)N(=O)=O;Sweet;Rojas et al. (2017);none
1762;Ammonium glycyrrhizinate;CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C.N;Sweet;Rojas et al. (2017);none
1763;Asp 1;NC(C(=O)NCCc1ccc(cc1)F)CC(=O)O;Sweet;Rojas et al. (2017);none
1764;Asp 10;CCCCCC(NC(=O)C(CC(=O)O)N)C;Sweet;Rojas et al. (2017);none
1765;Asp 100;CCC(NC(=O)C(CC(=O)O)N)COC(=O)CC;Sweet;Rojas et al. (2017);none
1766;Asp 101;CCC(NC(=O)C(CC(=O)O)N)COC(=O)C(C)C;Sweet;Rojas et al. (2017);none
1767;Asp 102;CCC(NC(=O)C(CC(=O)O)N)COC(=O)C1CC1;Sweet;Rojas et al. (2017);none
1768;Asp 103;CCC(NC(=O)C(CC(=O)O)N)COC(=O)C1CCC1;Sweet;Rojas et al. (2017);none
1769;Asp 104;CC(=O)OCC(C(O)C)NC(=O)C(CC(=O)O)N;Sweet;Rojas et al. (2017);none
1770;Asp 105;CC(C(NC(=O)C(CC(=O)O)N)COC(=O)CC)O;Sweet;Rojas et al. (2017);none
1771;Asp 106;CC(=O)OCC(C(C)C)NC(=O)C(CC(=O)O)N;Sweet;Rojas et al. (2017);none
1772;Asp 107;CCC(=O)OCC(C(C)C)NC(=O)C(CC(=O)O)N;Sweet;Rojas et al. (2017);none
1773;Asp 108;CC(C(NC(=O)C(CC(=O)O)N)COC(=O)C(C)C)C;Sweet;Rojas et al. (2017);none
1774;Asp 109;CC(C(NC(=O)C(CC(=O)O)N)COC(=O)C1CC1)C;Sweet;Rojas et al. (2017);none
1775;Asp 11;CC(CCC(NC(=O)C(CC(=O)O)N)C)C;Sweet;Rojas et al. (2017);none
1776;Asp 110;CC(C(NC(=O)C(CC(=O)O)N)COC(=O)C1CCC1)C;Sweet;Rojas et al. (2017);none
1777;Asp 112;CCCC(NC(=O)C(CC(=O)O)N)COC(=O)C;Sweet;Rojas et al. (2017);none
1778;Asp 122;COC(=O)C(NC(=O)C(CC(=O)O)N)COC(=O)C;Sweet;Rojas et al. (2017);none
1779;Asp 123;CCC(=O)OCC(C(=O)OC)NC(=O)C(CC(=O)O)N;Sweet;Rojas et al. (2017);none
1780;Asp 124;CCCC(=O)OCC(C(=O)OC)NC(=O)C(CC(=O)O)N;Sweet;Rojas et al. (2017);none
1781;Asp 125;COC(=O)C(NC(=O)C(CC(=O)O)N)COC(=O)C(C)C;Sweet;Rojas et al. (2017);none
1782;Asp 126;COC(=O)C(NC(=O)C(CC(=O)O)N)COC(=O)C(C)(C)C;Sweet;Rojas et al. (2017);none
1783;Asp 128;CC(NC(=O)C(CC(=O)O)N)CC(=O)OCC;Sweet;Rojas et al. (2017);none
1784;Asp 129;CC(CC(=O)OC(C)C)NC(=O)C(CC(=O)O)N;Sweet;Rojas et al. (2017);none
1785;Asp 130;CCC(OC(=O)CC(NC(=O)C(CC(=O)O)N)C)C;Sweet;Rojas et al. (2017);none
1786;Asp 131;CC(CC(=O)OC(C)(C)C)NC(=O)C(CC(=O)O)N;Sweet;Rojas et al. (2017);none
1787;Asp 132;CC(NC(=O)C(CC(=O)O)N)CC(=O)OC1CCCCC1;Sweet;Rojas et al. (2017);none
1788;Asp 134;CCC(OC(=O)CCNC(=O)C(CC(=O)O)N)C;Sweet;Rojas et al. (2017);none
1789;Asp 135;NC(C(=O)NCCC(=O)OC(C)(C)C)CC(=O)O;Sweet;Rojas et al. (2017);none
1790;Asp 136;CCC(OC(=O)CCNC(=O)C(CC(=O)O)N)CC;Sweet;Rojas et al. (2017);none
1791;Asp 137;CCCC(OC(=O)CCNC(=O)C(CC(=O)O)N)C;Sweet;Rojas et al. (2017);none
1792;Asp 138;O=C(OC1CCCC1)CCNC(=O)C(CC(=O)O)N;Sweet;Rojas et al. (2017);none
1793;Asp 139;OC(=O)CC(C(=O)NCCC(=O)OC1CCCCC1)N;Sweet;Rojas et al. (2017);none
1794;Asp 14;CC(NC(=O)C(CC(=O)O)N)CCOCC;Sweet;Rojas et al. (2017);none
1795;Asp 140;CC(C(=O)OC(C)C)CNC(=O)C(CC(=O)O)N;Sweet;Rojas et al. (2017);none
1796;Asp 141;CC(C(=O)OC(C)(C)C)CNC(=O)C(CC(=O)O)N;Sweet;Rojas et al. (2017);none
1797;Asp 142;OC(=O)CC(C(=O)NCC(C(=O)OC1CCCC1)C)N;Sweet;Rojas et al. (2017);none
1798;Asp 143;CC(C(=O)OC1CCCCC1)CNC(=O)C(CC(=O)O)N;Sweet;Rojas et al. (2017);none
1799;Asp 15;CCCCCCC(NC(=O)C(CC(=O)O)N)C;Sweet;Rojas et al. (2017);none
1800;Asp 153;CC(NC(=O)C(CC(=O)O)N)CC(=O)OC;Sweet;Rojas et al. (2017);none
1801;Asp 154;COC(=O)CCNC(=O)C(CC(=O)O)N;Sweet;Rojas et al. (2017);none
1802;Asp 155;NC(C(=O)NCCC(=O)OC(C)C)CC(=O)O;Sweet;Rojas et al. (2017);none
1803;Asp 156;CCOC(=O)CC(C(=O)OC)NC(=O)C(CC(=O)O)N;Sweet;Rojas et al. (2017);none
1804;Asp 157;COC(=O)C(NC(=O)C(CC(=O)O)N)CC(=O)OC(C)(C)C;Sweet;Rojas et al. (2017);none
1805;Asp 159;CCC(C(=O)OC)NC(=O)C(CC(=O)O)N;Sweet;Rojas et al. (2017);none
1806;Asp 16;CCC(Cc1ccccc1)NC(=O)C(CC(=O)O)N;Sweet;Rojas et al. (2017);none
1807;Asp 160;OCC(C(=O)OC)NC(=O)C(CC(=O)O)N;Sweet;Rojas et al. (2017);none
1808;Asp 161;CCOC(=O)C(NC(=O)C(CC(=O)O)N)CO;Sweet;Rojas et al. (2017);none
1809;Asp 163;OCC(C(=O)OC(C)C)NC(=O)C(CC(=O)O)N;Sweet;Rojas et al. (2017);none
1810;Asp 164;CCCCOC(=O)C(NC(=O)C(CC(=O)O)N)CO;Sweet;Rojas et al. (2017);none
1811;Asp 165;OCC(C(=O)OCC(C)C)NC(=O)C(CC(=O)O)N;Sweet;Rojas et al. (2017);none
1812;Asp 166;OCC(C(=O)OC1CCCCC1)NC(=O)C(CC(=O)O)N;Sweet;Rojas et al. (2017);none
1813;Asp 167;COC(=O)C(C(O)C)NC(=O)C(CC(=O)O)N;Sweet;Rojas et al. (2017);none
1814;Asp 168;CCOC(=O)C(C(O)C)NC(=O)C(CC(=O)O)N;Sweet;Rojas et al. (2017);none
1815;Asp 169;CCCOC(=O)C(C(O)C)NC(=O)C(CC(=O)O)N;Sweet;Rojas et al. (2017);none
1816;Asp 17;NC(C(=O)NC(Cc1ccccc1)(C)C)CC(=O)O;Sweet;Rojas et al. (2017);none
1817;Asp 170;OC(=O)CC(C(=O)NC(C(=O)OC(C)C)C(O)C)N;Sweet;Rojas et al. (2017);none
